
File=Chromosome.txt, pattern='A'
ntasks=100, nthreads=4, warmups=10, runs=100
Using 100 tasks: Run no. 30: 1251521 occurrences found in 0,034892 s
Using 100 tasks: Run no. 31: 1251521 occurrences found in 0,034558 s
Using 100 tasks: Run no. 32: 1251521 occurrences found in 0,018211 s
Using 100 tasks: Run no. 33: 1251521 occurrences found in 0,017263 s
Using 100 tasks: Run no. 34: 1251521 occurrences found in 0,017220 s
Using 100 tasks: Run no. 35: 1251521 occurrences found in 0,033756 s
Using 100 tasks: Run no. 36: 1251521 occurrences found in 0,034606 s
Using 100 tasks: Run no. 37: 1251521 occurrences found in 0,034633 s
Using 100 tasks: Run no. 38: 1251521 occurrences found in 0,034438 s
Using 100 tasks: Run no. 39: 1251521 occurrences found in 0,034679 s
Using 100 tasks: Run no. 40: 1251521 occurrences found in 0,034508 s
Using 100 tasks: Run no. 41: 1251521 occurrences found in 0,034488 s
Using 100 tasks: Run no. 42: 1251521 occurrences found in 0,034619 s
Using 100 tasks: Run no. 43: 1251521 occurrences found in 0,034941 s
Using 100 tasks: Run no. 44: 1251521 occurrences found in 0,034998 s
Using 100 tasks: Run no. 45: 1251521 occurrences found in 0,186694 s
Using 100 tasks: Run no. 46: 1251521 occurrences found in 0,017473 s
Using 100 tasks: Run no. 47: 1251521 occurrences found in 0,017380 s
Using 100 tasks: Run no. 48: 1251521 occurrences found in 0,017521 s
Using 100 tasks: Run no. 49: 1251521 occurrences found in 0,017499 s
Using 100 tasks: Run no. 50: 1251521 occurrences found in 0,017906 s
Using 100 tasks: Run no. 51: 1251521 occurrences found in 0,017851 s
Using 100 tasks: Run no. 52: 1251521 occurrences found in 0,017988 s
Using 100 tasks: Run no. 53: 1251521 occurrences found in 0,017961 s
Using 100 tasks: Run no. 54: 1251521 occurrences found in 0,017525 s
Using 100 tasks: Run no. 55: 1251521 occurrences found in 0,017588 s
Using 100 tasks: Run no. 56: 1251521 occurrences found in 0,017311 s
Using 100 tasks: Run no. 57: 1251521 occurrences found in 0,017442 s
Using 100 tasks: Run no. 58: 1251521 occurrences found in 0,017375 s
Using 100 tasks: Run no. 59: 1251521 occurrences found in 0,017370 s
Using 100 tasks: Run no. 60: 1251521 occurrences found in 0,017516 s
Using 100 tasks: Run no. 61: 1251521 occurrences found in 0,017313 s
Using 100 tasks: Run no. 62: 1251521 occurrences found in 0,017396 s
Using 100 tasks: Run no. 63: 1251521 occurrences found in 0,017599 s
Using 100 tasks: Run no. 64: 1251521 occurrences found in 0,017464 s
Using 100 tasks: Run no. 65: 1251521 occurrences found in 0,017482 s
Using 100 tasks: Run no. 66: 1251521 occurrences found in 0,017691 s
Using 100 tasks: Run no. 67: 1251521 occurrences found in 0,017567 s
Using 100 tasks: Run no. 68: 1251521 occurrences found in 0,017475 s
Using 100 tasks: Run no. 69: 1251521 occurrences found in 0,017376 s
Using 100 tasks: Run no. 70: 1251521 occurrences found in 0,017302 s
Using 100 tasks: Run no. 71: 1251521 occurrences found in 0,017538 s
Using 100 tasks: Run no. 72: 1251521 occurrences found in 0,017524 s
Using 100 tasks: Run no. 73: 1251521 occurrences found in 0,017435 s
Using 100 tasks: Run no. 74: 1251521 occurrences found in 0,017438 s
Using 100 tasks: Run no. 75: 1251521 occurrences found in 0,017397 s
Using 100 tasks: Run no. 76: 1251521 occurrences found in 0,017384 s
Using 100 tasks: Run no. 77: 1251521 occurrences found in 0,017428 s
Using 100 tasks: Run no. 78: 1251521 occurrences found in 0,044376 s
Using 100 tasks: Run no. 79: 1251521 occurrences found in 0,017471 s
Using 100 tasks: Run no. 80: 1251521 occurrences found in 0,017440 s
Using 100 tasks: Run no. 81: 1251521 occurrences found in 0,017466 s
Using 100 tasks: Run no. 82: 1251521 occurrences found in 0,017639 s
Using 100 tasks: Run no. 83: 1251521 occurrences found in 0,017412 s
Using 100 tasks: Run no. 84: 1251521 occurrences found in 0,017286 s
Using 100 tasks: Run no. 85: 1251521 occurrences found in 0,017546 s
Using 100 tasks: Run no. 86: 1251521 occurrences found in 0,017506 s
Using 100 tasks: Run no. 87: 1251521 occurrences found in 0,017317 s
Using 100 tasks: Run no. 88: 1251521 occurrences found in 0,017881 s
Using 100 tasks: Run no. 89: 1251521 occurrences found in 0,017321 s
Using 100 tasks: Run no. 90: 1251521 occurrences found in 0,017320 s
Using 100 tasks: Run no. 91: 1251521 occurrences found in 0,017316 s
Using 100 tasks: Run no. 92: 1251521 occurrences found in 0,017506 s
Using 100 tasks: Run no. 93: 1251521 occurrences found in 0,017402 s
Using 100 tasks: Run no. 94: 1251521 occurrences found in 0,017361 s
Using 100 tasks: Run no. 95: 1251521 occurrences found in 0,017546 s
Using 100 tasks: Run no. 96: 1251521 occurrences found in 0,017485 s
Using 100 tasks: Run no. 97: 1251521 occurrences found in 0,017405 s
Using 100 tasks: Run no. 98: 1251521 occurrences found in 0,017529 s
Using 100 tasks: Run no. 99: 1251521 occurrences found in 0,017655 s

Using 100 tasks (avg.): 0,027726 s


Average speedup: 2,75

