
File=Chromosome.txt, pattern='ATATGTTTT'
Using 10 tasks: Run no. 82: 74 occurrences found in 0,018069 s
Using 10 tasks: Run no. 83: 74 occurrences found in 0,017962 s
Using 10 tasks: Run no. 84: 74 occurrences found in 0,017912 s
Using 10 tasks: Run no. 85: 74 occurrences found in 0,018042 s
Using 10 tasks: Run no. 86: 74 occurrences found in 0,017932 s
Using 10 tasks: Run no. 87: 74 occurrences found in 0,017933 s
Using 10 tasks: Run no. 88: 74 occurrences found in 0,017986 s
Using 10 tasks: Run no. 89: 74 occurrences found in 0,018125 s
Using 10 tasks: Run no. 90: 74 occurrences found in 0,018263 s
Using 10 tasks: Run no. 91: 74 occurrences found in 0,018038 s
Using 10 tasks: Run no. 92: 74 occurrences found in 0,018133 s
Using 10 tasks: Run no. 93: 74 occurrences found in 0,018232 s
Using 10 tasks: Run no. 94: 74 occurrences found in 0,018107 s
Using 10 tasks: Run no. 95: 74 occurrences found in 0,018037 s
Using 10 tasks: Run no. 96: 74 occurrences found in 0,018033 s
Using 10 tasks: Run no. 97: 74 occurrences found in 0,018106 s
Using 10 tasks: Run no. 98: 74 occurrences found in 0,018194 s
Using 10 tasks: Run no. 99: 74 occurrences found in 0,018016 s

Using 10 tasks (avg.): 0,018209 s


Average speedup: 1,99

