File=Chromosome.txt, pattern='A'
ntasks=100, nthreads=1, warmups=10, runs=100
Using 100 tasks: Run no. 48: 1251521 occurrences found in 0,124865 s
Using 100 tasks: Run no. 49: 1251521 occurrences found in 0,124549 s
Using 100 tasks: Run no. 50: 1251521 occurrences found in 0,123763 s
Using 100 tasks: Run no. 51: 1251521 occurrences found in 0,124815 s
Using 100 tasks: Run no. 52: 1251521 occurrences found in 0,517347 s
Using 100 tasks: Run no. 53: 1251521 occurrences found in 0,125646 s
Using 100 tasks: Run no. 54: 1251521 occurrences found in 0,117552 s
Using 100 tasks: Run no. 55: 1251521 occurrences found in 0,118625 s
Using 100 tasks: Run no. 56: 1251521 occurrences found in 0,112305 s
Using 100 tasks: Run no. 57: 1251521 occurrences found in 0,416163 s
Using 100 tasks: Run no. 58: 1251521 occurrences found in 0,113181 s
Using 100 tasks: Run no. 59: 1251521 occurrences found in 0,114459 s
Using 100 tasks: Run no. 60: 1251521 occurrences found in 0,115368 s
Using 100 tasks: Run no. 61: 1251521 occurrences found in 0,114819 s
Using 100 tasks: Run no. 62: 1251521 occurrences found in 0,349355 s
Using 100 tasks: Run no. 63: 1251521 occurrences found in 0,114177 s
Using 100 tasks: Run no. 64: 1251521 occurrences found in 0,103278 s
Using 100 tasks: Run no. 65: 1251521 occurrences found in 0,096638 s
Using 100 tasks: Run no. 66: 1251521 occurrences found in 0,083308 s
Using 100 tasks: Run no. 67: 1251521 occurrences found in 0,187878 s
Using 100 tasks: Run no. 68: 1251521 occurrences found in 0,094091 s
Using 100 tasks: Run no. 69: 1251521 occurrences found in 0,091330 s
Using 100 tasks: Run no. 70: 1251521 occurrences found in 0,092298 s
Using 100 tasks: Run no. 71: 1251521 occurrences found in 0,093659 s
Using 100 tasks: Run no. 72: 1251521 occurrences found in 0,232775 s
Using 100 tasks: Run no. 73: 1251521 occurrences found in 0,097381 s
Using 100 tasks: Run no. 74: 1251521 occurrences found in 0,094855 s
Using 100 tasks: Run no. 75: 1251521 occurrences found in 0,080182 s
Using 100 tasks: Run no. 76: 1251521 occurrences found in 0,084338 s
Using 100 tasks: Run no. 77: 1251521 occurrences found in 0,090111 s
Using 100 tasks: Run no. 78: 1251521 occurrences found in 0,350441 s
Using 100 tasks: Run no. 79: 1251521 occurrences found in 0,077528 s
Using 100 tasks: Run no. 80: 1251521 occurrences found in 0,090835 s
Using 100 tasks: Run no. 81: 1251521 occurrences found in 0,089063 s
Using 100 tasks: Run no. 82: 1251521 occurrences found in 0,089759 s
Using 100 tasks: Run no. 83: 1251521 occurrences found in 0,267363 s
Using 100 tasks: Run no. 84: 1251521 occurrences found in 0,096306 s
Using 100 tasks: Run no. 85: 1251521 occurrences found in 0,093710 s
Using 100 tasks: Run no. 86: 1251521 occurrences found in 0,098617 s
Using 100 tasks: Run no. 87: 1251521 occurrences found in 0,093327 s
Using 100 tasks: Run no. 88: 1251521 occurrences found in 0,238313 s
Using 100 tasks: Run no. 89: 1251521 occurrences found in 0,113717 s
Using 100 tasks: Run no. 90: 1251521 occurrences found in 0,115189 s
Using 100 tasks: Run no. 91: 1251521 occurrences found in 0,114201 s
Using 100 tasks: Run no. 92: 1251521 occurrences found in 0,113715 s
Using 100 tasks: Run no. 93: 1251521 occurrences found in 0,112483 s
Using 100 tasks: Run no. 94: 1251521 occurrences found in 0,491907 s
Using 100 tasks: Run no. 95: 1251521 occurrences found in 0,116110 s
Using 100 tasks: Run no. 96: 1251521 occurrences found in 0,114310 s
Using 100 tasks: Run no. 97: 1251521 occurrences found in 0,113964 s
Using 100 tasks: Run no. 98: 1251521 occurrences found in 0,115476 s
Using 100 tasks: Run no. 99: 1251521 occurrences found in 0,385691 s

Using 100 tasks (avg.): 0,162710 s


Average speedup: 0,93
